brand,categories,features.value,manufacturer,name
A&W,"Food & Grocery,Beverages,Tea,Food","Filtered Carbonated Water,Caramel Color,Sodium Benzoate (Protects Flavor),Aspartame,Natural And Artificial Flavors,Acesulfame Potassium,Malic Acid. Phenylketonurics: Contains Phenylalanine.",A&W Concentrate Company,"Diet A&w Root Beer, 12 Fl Oz, 6 Pack"
Crush,"Food & Grocery,Beverages,Tea,Food,Grocery","Carbonated Water,High Fructose Corn Syrup,Sodium Benzoate (Preservative),Grape Juice Concentrate,Acacia Gum,Artificial Flavor,Red 40,Blue 1.",DR. PEPPER,"Crush Grape Soda, 12 Oz, 12pk"
FIRST COLONY,"Food & Grocery,Beverages,Tea,Food,Iced Tea,Juice,Grocery","100% Arabica Coffee. USDA organic,Rainforest Alliance Certified,All natural,Hand-roasted since 1902",White Coffee Corp.,First Colony Fairtrade Peruvian Mountain Ground Medium Roast Coffee 340g
Oregon,"Food & Grocery,Beverages,Tea,Health,Sports Nutritional Supplements","Gooseberries,Water and Cane Sugar.",OREGON FRUIT PRODUCTS CO,Oregon Gooseberries
Osem,"Food & Grocery,Beverages,Water, Carbonated,Food,Soft Drinks,Grocery","Sugar,Wheat Flour,Palm Oil,Soybean Oil,Soybean Flour,Soy Lecithin,Leavening (Sodium Bicarbonate, Ammonium Bicarbonate),Artificial Flavor.","Osem Usa, Inc.",Osem Wafers Vanilla
Vault,"Food & Grocery,Beverages,Water, Carbonated,Grocery & Gourmet Food,Bottled Beverages, Water & Drink Mixes,Water","Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural And Artificial Flavors,Concentrated Orange Juice,Sodium Benzoate And Edta (to Protect Taste),Caffeine,Potassium Citrate,Yellow 5,Carob Bean Gum.",Coca-Cola USA,"Vault Energy Soda, 2 L"
Pillsbury,"Food & Grocery,Beverages,Water, Spring & Still,Food,Water","Sugar,Enriched Flour Bleached (Wheat Flour, Niacin, Thiamin Mononitrate, Riboflavin, Folic Acid),Chocolate Chunks (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin, Salt, Artificial And Natural Flavor),Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin, Vanillin Artificial Flavor),Chocolate Flavored Syrup (Sugar, Water, High Fructose Corn Syrup, Cocoa Processed With Alkali),Salt,Citric Acid,Potassium Sorbate Preservative,Xanthan Gum,Artificial And Natural Flavor,),Cocoa Processed With Alkali And Cocoa,Partially Hydrogenated Soybean,Contains 2 Or Less Of Corn Starch,Salt,Natural And Artificial Flavor,Baking Soda,Soy Lecithin.",Smucker's,Premium Brownie Mix
FRS,"Food & Grocery,Breakfast Foods,Cold Cereal","Sugar,Brown Rice Syrup,Rice Syrup Solids,Soy Lecithin,Palm Oil,Natural Flavors,Quercetin (QU995),Corn Starch,Ascorbic Acid,Carnauba Wax,Citric Acid,Glycerin,D-Alpha Tocopheryl Acetate (Vit E),Green Tea Leaf Extract,Niacinamide (B3),Stevia Rebaudiana Leaf Extract,Pyridoxine Hydrochloride (B6),Thiamine Hydrochloride (B1),Riboflavin (B2),Mono and Diglycerides,Cyanocobalamin (B12),.",FRS HEALTHY ENERGY,Pineapple Mango Natural Energy Soft
Slim Jim,"Food & Grocery,Breakfast Foods,Cold Cereal","Beef,Mechanically Separated Chicken,Water,Corn Syrup,Soy Protein Concentrate,Less Then 2% Of: Salt,Spices,Dextrose,Paprika And Paprika Extractives,Flavoring,Hydrolyzed Soy,Corn,And Wheat Proteins,Lactic Acid Starter Culture,Sodium Nitrite. Contains: Soy,Wheat.",Slim Jim,Mjk1170 - Slim Jim Giant Slim Jim Snack Mix
Gerber Graduates Fruit Dices,"Food & Grocery,Breakfast Foods,Cold Cereal","Apples,White Grape Juice from Concentrate (Water,White Grape Juice Concentrate) And Ascorbic Acid (Vitamin C).",Gerber,Gerber Graduates Diced Apples 4.5 oz
Allen Canning Company,"Food & Grocery,Breakfast Foods,Cold Cereal","Okra,Water,Salt,Citric Acid,Ascorbic Acid.",ALLENS,"Allens, Okra Cut, 14.5 OZ (Pack of 12)"
ORGANIC INDIA,"Food & Grocery,Breakfast Foods,Cold Cereal","Proprietary Organic Blend (1.9 g),: Organic Tulsi (Holy Basil),Blend,Krishna Tulsi (Leaf Flower),Rama Tulsi (Leaf Flower),Vana Tulsi (Leaf Flower),Organic Cinnamon (Bark),Organic Rooibos (Leaf),Organic Ginger (Root),Organic Cardamom (Seed),Organic Chicory (Root),Roasted,Organic Black Pepper,Organic Clover (Bud),Organic Nutmeg,Organic Mace. Other Ingredients: Organic Cinnamon Extract,Organic Ginger Extract,and Organic Cardamom Extract.",Organic India,"Organic India Organic Tulsi Herbal Tea, Red Chai Masala, 18 Tea Bags (Pack of 6)"
Stash Tea,"Food & Grocery,Breakfast Foods,Cold Cereal","Wuyi Oolong Tea,Orange Peel,Lemongrass,White Peach Flavor and Peach Flavor.",Stash Tea,"Stash White Peach Oolong Tea with Wuyi Oolong , 1.2 Ounce Box, 18 Count"
Kuner's,"Food & Grocery,Breakfast Foods,Cold Cereal","Prepared Pinto Beans,Water,contains less than 2: Salt,Chili Pepper,Cornstarch Modified,Soybean Oil,Spice,Onion Powder,Garlic Powder,Cumin.",KeHE Distributors,"Kuner's Chili Beans, 15-ounces (Pack of12)"
Morning Song,"Food & Grocery,Breakfast Foods,Cold Cereal","Rendered Beef Suet,White Millet,Cracked Corn,Red Millet,Artificial Flavoring.",Morning Song,Morning Song Berry Punch Suet
A&W,"Food & Grocery,Breakfast Foods,Cold Cereal","CARBONATED WATER,HIGH FRUCTOSE CORN SYRUP,SODIUM BENZOATE (PRESERVATIVE),CARAMEL COLOR,CITRIC ACID,YUCCA EXTRACT,NATURAL AND ARTIFICIAL FLAVORS,CAFFEINE,Carbonated Water,High Fructose Corn Syrup,Sodium Benzoate (preservative),. Caramel Color,Citric Acid,Yucca Extract,Natural and Artificial Flavors,Caffeine.",A&W Concentrate Company,"A_W Cream Soda, 12 fl oz"
Jiffy,"Food & Grocery,Breakfast Foods,Cold Cereal","Wheat Flour,Animal Shortening (Lard,Hydrogenated Lard,Tocopherols Preservative,BHT Preservative),Contains less than 2% of each of the following: Salt,Sodium Acid Pyrophosphate,Baking Soda,Wheat Starch,Niacin,Reduced Iron,Tricalcium Phosphate,Thiamine Mononitrate,Riboflavin,Folic Acid,Silicon Dioxide,Animal Shortening (Contains one or more of the following: Lard, Hydrogenated Lard Partially Hydrogenated Lard),contains less than 2 of each of the following: Salt,Folic Acid.",Chelsea Milling Company,"Jiffy Pie Crust Mix, 9 oz"
Perrier,"Food & Grocery,Breakfast Foods,Cold Cereal","Carbonated Mineral Water,Natural Flavors.",Perrier,"Perrier Sparkling Natural Mineral Water, Lime 25.3 Fl Oz"
Extra,"Food & Grocery,Breakfast Foods,Cold Cereal","Sorbitol,Gum Base,Glycerol,Mannitol,Natural and Artificial Flavors,Hydrogenated Starch Hydrolysate,Less than 2% of: Aspartame,Acesulfame K,Colors (Titanium Dioxide,Blue 1 Lake),BHT (to Maintain Freshness),Soy Lecithin.",Wrigley,"Extra Gum Winterfresh, 15 Stk (Inner)"
One Degree Organic Foods,"Food & Grocery,Breakfast Foods,Cold Cereal",ORGANIC SPROUTED SPELT FLOUR,ONE DEGREE ORGANIC FOODS,Flour 95% Organic Sprouted Spelt 80 Oz ()
Bubblicious Bubble Gums,"Food & Grocery,Breakfast Foods,Cold Cereal,Breakfast","Sugar,Corn Syrup,Gum Base; Less than 2% of: Adipic Acid,Artificial and Natural Flavoring,BHT (to Maintain Freshness),Citric Acid,Cottonseed Oil,Glycerin,Red 40 Lake and Soy Lecithin.",DDI,Bubblicious Watermelon Wave Sticks By Cadbury Adams - 5 Ea X
MOUNTAIN PEAK,"Food & Grocery,Breakfast Foods,Cold Cereal,Breakfast","Pure Coffee Blended and Roasted to the Peak of Perfection,to Give You the Real Jamaican Taste.",Jamaican Choice,"Mountain Peak Instant Coffee, 6 Oz"
Streit's,"Food & Grocery,Breakfast Foods,Cold Cereal,Food","Matzo Meal (Passover Wheat Flour & Water),Tapioca Dextrose,Salt Onions,Cottonseed Oil,Garlic,Monocalcium Phosophate,Sodium Bicarbonate,White Pepper,Celery Seed,Dill Seed,Parsley,Annatto Color.,Matzo Meal (Passover Wheat Flour Water)",Aron Streit Inc.,"Streit's Matzo Ball _ Soup Mix, 4.5 OZ"
Badia,"Food & Grocery,Breakfast Foods,Cold Cereal,Food,All Cereal","Alcohol,Water,Anise Oil.,Anise Oil. Fresh sweetness of black licorice,Used in the preparation of desserts and pastries that require anise,Quality at a value price",Badia,"Badia Pure Anise Extract, 2 fl oz"
Streit's,"Food & Grocery,Breakfast Foods,Cold Cereal,Grocery",Unbleached Organic Wheat Flour and Wheat.,Streits,"Streit's Matzos Flour _ Water, 11.0 OZ"
Red Rose,"Food & Grocery,Breakfast Foods,Cold Cereal,Grocery & Gourmet Food,Cereals,Cold Cereals,All Cereal,Food",Black Tea.,Red Rose,Red Rose Naturally Decaffeinated Tea Bags
ICE BREAKERS,"Food & Grocery,Breakfast Foods,Hot Cereal","Xylitol,Gum Base,Maltitol Syrup,Mannitol,Contains 2% or Less of: Natural Flavor And Artificial Flavor,Maltodextrin,Malic Acid,Artificial Color (Red 40 Lake,Red 40,Blue 1),Citric Acid,Lecithin (Soy),Aspartame*,Modified Cornstarch,Gelatin,Acesulfame Potassium,Gum Acacia,Neotame,BHT (to Maintain Freshness). *Phenylketonurics: Contains Phenylalanine.",Hershey's,Ice BreakersÂ® Ice CubesÂ® Raspberry Sorbet Sugar Free Gum 10 ct Box
Jarrow Formulas,"Food & Grocery,Breakfast Foods,Hot Cereal","100% Unrefined Cold-Pressed,Organic,Extra Virgin Coconut oil",Jarrow Formulas,Jarrow Formulas - Extra Virgin Coconut Oil - 16 oz.
Maxwell House,"Food & Grocery,Breakfast Foods,Hot Cereal",100% PURE COFFEE.,Maxwell House,"Maxwell House Gourmet Roast Medium Coffee, 11 oz"
Melitta,"Food & Grocery,Breakfast Foods,Hot Cereal","100% High Grown Arabica Coffee.,100 High Grown Arabica Coffee.",Generic,"Melitta Cafe De Europa Extra Fine Grind Parisian Vanilla Flavored Coffee, 11.0 OZ"
Maxwell House,"Food & Grocery,Breakfast Foods,Pancake Mixes & Syrup,Food",Decaffeinated Coffee.,"Kraft Foods, Inc.","Maxwell House Ground Coffee The Original Roast Medium Decaf, 11.0 OZ"
Hodgson Mill,"Food & Grocery,Breakfast Foods,Peanut Butter","100% Organic Whole Wheat Stone Ground Pastry Flour.,100 Organic Whole Wheat Stone Ground Pastry Flour.",Hodgson Mill,"Hodgson Mill Organic Whole Wheat Pastry Flour, 28 Ounce"
Junket,"Food & Grocery,Breakfast Foods,Peanut Butter","Sugar,Tapioca Starch,Citric Acid,Artificial Flavor (Sulfites),Glycerine. Red #40.",Redco Foods brands,"Junket Strawberry Danish Pudding _ Pie Filling, 4.75 Oz"
Spectrum,"Food & Grocery,Bulk Food & Grocery,Bulk Snacks,Food",100% Mechanically (Expeller) Pressed Refined Canola Oil.,SPECTRUM NATURALS,"Spectrum Expeller Pressed Canola Oil Refined High Heat, 16.0 FL OZ"
Streit's,"Food & Grocery,Cleaning Supplies,All Purpose Cleaners","Potatoes (Mono & Diglycerides & Sodium Acid Pyrophosphates),Potato Starch,Onions,Salt,Olive Oil.,Potatoes (Mono Diglycerides Sodium Acid Pyrophosphates)",Aron Streit Inc.,"Streit's Potato Pancake Latkes Mix, 6.0 OZ"
Betty Crocker,"Food & Grocery,Cleaning Supplies,All Purpose Cleaners","Enriched Flour Bleached (Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Sugar,Cocoa Processed with Alkali,Corn Syrup,Leavening (Baking Soda,Monocalcium Phosphate,Sodium Aluminum Phosphate). Contains 2% or Less of: Corn Starch,Modified Corn Starch,Vegetable Oil (Palm Oil and/or Partially Hydrogenated Soybean and/or Cottonseed Oil),Carob Powder,Propylene Glycol Mono and Diesters of Fatty Acids,Distilled Monoglycerides,Salt,Dicalcium Phosphate,Sodium Stearoyl Lactylate,Xanthan Gum,Cellulose Gum,Artificial Flavor.,Enriched Flour Bleached (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),Cocoa Processed With Alkali,Partially Hydrogenated Soybean and/or Cottonseed Oil,Corn Starch,Baking Soda,Propylene Glycol,Monoesters of Fatty Acids,Lactose,Modified Whey,Sodium Aluminum Phosphate,Monoglycerides,Datem,Artificial Flavor,Aluminum Sulfate.","General Mills Sales, Inc.","Betty Crocker Favorites Super Moist Butter Recipe Chocolate Cake Mix, 15.25 oz"
FIRST COLONY,"Food & Grocery,Cleaning Supplies,All Purpose Cleaners","100% Arabica Coffee.,100 Arabica Coffee. USDA organic,Rainforest Alliance Certified,All natural,Hand-roasted since 1902",WHITE COFFEE CORP,"First Colony French Market Ground Dark Roast Coffee, 12.0 OZ"
Bob's Red Mill,"Food & Grocery,Cleaning Supplies,All Purpose Cleaners",Black Beans.,Bob's Red Mill,"Bobs Red Mill Black Bean Flour, 24 Oz"
Zatarain's,"Food & Grocery,Cleaning Supplies,Bathroom","Enriched Corn Flour (Corn Flour,Niacin,Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Enriched Bleached Wheat Flour (Wheat & Malt Barley Flour,Salt,Spices (Including Red Pepper),Citric Acid,Garlic,Leavening Agents (Sodium Aluminum Phosphate,Sodium Acid Pyrophosphate,Sodium Bicarbonate,Monocalcium Phosphate),Onion,Disodium Inosinate,and Guanylate (Flavor Enhancers),Lemon Juice Concentrate,Sugar,Natural Flavor and Extractives of Paprika.",Zatarain's,"Zatarain's Shrimp Fri Seasoned Seafood Breading Mix, 12 oz"
Sanka,"Food & Grocery,Cleaning Supplies,Bathroom",100% Pure Coffee.,Kraft,"Sanka Instant Coffee Naturally Decaffeinated, 8.0 OZ"
Nabisco,"Food & Grocery,Cleaning Supplies,Bathroom","SORBITOL,ARTIFICIAL AND NATURAL FLAVORING,MAGNESIUM STEARATE,SUCRALOSE RED 40 LAKE AND SOY LECITHIN.",Dentyne,Dentyne Ice Mints Fire Spicy Cinnamon - Tin 50 Pcs Each ( 9 In A Pack )
Bob's Red Mill,"Food & Grocery,Cleaning Supplies,Bathroom",Organic Whole Grain Hard White Wheat.,Bob's Red Mill,"Bobs Red Mill Organix Ivory Wheat Flour, 80 Oz"
Stewarts,"Food & Grocery,Cleaning Supplies,Bathroom","Carbonated Water,High Fructose Corn Syrup,Artificial Flavor,Sodium Benzoate (a Preservative),Caramel Color,Citric Acid,Quillaia Extract.","Stewart&apos;s Product Licensing, Inc. used under license by Mott&apos;s LLC","Stewart's Cream Soda, 12 fl oz"
Purina Deli-Cat,"Food & Grocery,Cleaning Supplies,Bathroom","Ground Yellow Corn,Soybean Meal,Corn Gluten Meal,Meat & Bone Meal,Animal Fat Preserved with Mixed-Tocopherols,Turkey By-Product meal,Animal Liver Flavor,Phosphoric Acid,Salt,Calcium Carbonate,Choline Chloride,Potassium Chloride,Added Color,Taurine,DL-Methionine,Zinc Sulfate,Red 40,Vitamin E Supplement,Ferrous Sulfate,Niacin,manganese Sulfate,Yellow 5,Vitamin A Supplement,Vitamin D-3 Supplement,Folic Acid,Calcium Iodate,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Sodium Selenite,Biotin. W-4520.",Nestle,Purina Deli-Cat Cat Food 3.5 lb Jug
Purina Fancy Feast,"Food & Grocery,Cleaning Supplies,Disinfectant Spray","Meat Broth,Beef,Liver,Wheat Gluten,Meat By-Products,Corn Starch-Modified,Fish,Chicken,Artificial and Natural Flavors,Soy Flour,Added Color,Salt,Tricalcium Phosphate,Natural Roasted Beef Flavor,Potassium Chloride,Taurine,Magnesium Sulfate,Mono and Dicalcium Phosphate,Choline Chloride,Thiamine Mononitrate,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Niacin,Calcium Pantothenate,Vitamin A Supplement,Copper Sulfate,Manganese Sulfate,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide. B-7020.",Fancy Feast,Purina Fancy Feast Gravy Lovers Roasted Beef Flavor in Gravy Cat Food 3 oz. Can
Purina Friskies,"Food & Grocery,Cleaning Supplies,Disinfectant Spray","Turkey,Poultry By-Products,Water Sufficient for Processing,Meat By-Products,Liver,Fish,Rice,Artificial and Natural Flavors,Guar Gum,Potassium Chloride,Salt,Magnesium Sulfate,Mono and Dicalcium Phosphate,Carrageenan,Choline Chloride,Taurine,Thiamine Mononitrate,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Niacin,Calcium Pantothenate,Vitamin A Supplement,Copper Sulfate,Menadione Sodium Bisulfite Complex (Vitamin K),Manganese Sulfate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide. C-6057.",Purina Friskies,Purina Friskies Classic Pate Poultry Platter Cat Food 5.5 oz. Can
Lysander's,"Food & Grocery,Cleaning Supplies,Disinfectant Spray","Salt,Sugar,Onion,Celery,Salt,Paprika,Garlic,Maltodextrin,Mustard Flour And Other Spices.",GENEVA FOOD PRODUCTS,"Lysander's Hickory Flavor Meat Rub, 3.8 oz, (Pack of 6)"
Martha White,"Food & Grocery,Cleaning Supplies,Drain Openers & Septic","Enriched Bleached Flour (Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate),Salt,Calcium Sulfate. Contains Wheat Ingredients.,Enriched Bleached Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),Baking Powder (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate)",The J.M. Smucker Company,"Martha White Self-Rising Flour, 32 oz"
Jayone,"Food & Grocery,Cleaning Supplies,Drain Openers & Septic","White Sushi Rice,Brown Rice,Natural Cane Juice,Rice Syrup,Agar.","Jayone Foods, Inc.","Jayone Crunchy Rice Rolls, Brown/White, 3.5 Ounce"
Scharffen Berger,"Food & Grocery,Cleaning Supplies,Glass & Window","Chocolate*; Sugar; Cocoa Butter*; Non-GMO Soy Lecithin; Whole Vanilla Beans.,Chocolate* Sugar Cocoa Butter* Non-GMO Soy Lecithin Whole Vanilla Beans.","Scharffen Berger Chocolate Maker, Inc.",Scharffen Berger Semi-Sweet 62% Cacao Bar
Pillsbury,"Food & Grocery,Cleaning Supplies,Glass & Window,Household Essentials,Glass Cleaners","Sugar,Water,Partially Hydrogenated Vegetable Oil (Soybean And Cottonseed Oil),Cocoa Processed With Alkali,Fructose,Corn Syrup,Corn Starch,Contains 2 Or Less Of Each Of The Following: Mono- And Diglycerides,Salt,Natural And Artificial Flavor,Cellulose Gel,Carrageenan,Propylene Glycol Monostearate,Citric Acid,Potassium Sorbate (Preservative),Polysorbate 80,Cellulose Gum,Soy Lecithin,Sodium Stearoyl Lactylate,Color Added Including Red 40,Yellow 5,And Blue 1.",Pillsbury,*Pillsbury Whipped Supreme Milk Chocolate Frosting 12 oz
Twinings,"Food & Grocery,Deli,Dips & Spreads,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Tortilla","Black Tea,Natural Pomegranate Flavour with Other Natural Flavours.",Twinnings,"Twinings Flavored Black Tea, Pomegranate Delight, 20 Count Bagged Tea (6 Pack)"
Newman's Own,"Food & Grocery,Dishwashing,Automatic Dishwasher Detergent","Among its 100+ products,dozens of Newmans Own foods are labeled as made with Organic Ingredients,which by US regulations means that 70 percent or more ingredients are organic,and many more are labeled Certified Organic,which means that 90 percent or more ingredients are completely organic",Newman's Own,Chicken & Salmon Premium Cat Food
Roland,"Food & Grocery,Dishwashing,Cleaning Pads, Sponges & Accessories","Gherkins,Water,Vinegar,Salt,White Onions,Mustard Seeds,Calcium Chloride,Tarragon,Natural Flavoring.",ROLAND PRODUCTS,Roland: Cornichons Gherkins 12 Oz (2 Pack)
Italia-Gourmet,"Food & Grocery,Dishwashing,Eco-Friendly Dishwashing Solutions,Automatic Dishwasher Detergent,Other Grocery,Household Essentials,Food,Dishwasher Detergent,Kitchen","Sugar,Egg White,Apricot Kernels,Wheat Flour,Caramelized Sugar,Leavening (Ammonium Bicarbonate),.",Lazzaroni,Amaretti Cookie Snaps by Lazzaroni (7 ounce)
Altoids Strong Peppermint Candy,"Food & Grocery,Dishwashing,Liquid Dishwashing Detergent","Sugar,Gum Arabic,Natural and Artificial Flavors,Gelatin,Colors (Blue 1, Yellow 5),.",Altoids Strong Peppermint Candy,"Altoids Spearmint Mints 1.7 Oz, 12 Ea"
Ocean Spray,"Food & Grocery,Dishwashing,Liquid Dishwashing Detergent","Filtered Water,Cranberry Juice from Concentrate,Apple Juice from Concentrate,Grape Juice from Concentrate,Natural Flavors,Sodium Citrate,Pectin,Acesulfame Potassium,Sucralose.","Ocean Spray Cranberries, Inc.","Ocean Spray Light Cranberry Juice, 101.4 Ounce"
Purina Fancy Feast,"Food & Grocery,Dishwashing,Liquid Dishwashing Detergent","Fish Broth,Tuna,Fish,Liver,Mackerel,Chicken,Wheat Gluten,Meat By-Products,Soy Flour,Soy Protein Concentrate,Artificial and Natural Flavors,Calcium Phosphate,Added Color,Potassium Chloride,Xanthan Gum,Salt,Taurine,Carrageenan,Choline Chloride,Vitamin E Supplement,Thiamine Mononitrate,Zinc Sulfate,Ferrous Sulfate,Niacin,Sodium Nitrite (To Promote Color Retention),Copper Sulfate,Calcium Pantothenate,Manganese Sulfate,Vitamin A Supplement,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide.",Fancy Feast,"Fancy Feast Tuna & Mackerel Feast Flaked Gourmet Cat Food, 3.0 OZ"
F.M. BROWN'S,"Food & Grocery,Dishwashing,Liquid Dishwashing Detergent","Rendered Beef Suet,Corn,Wheat Flour and Peanuts. Suet blended with peanuts,Our suet cakes are hermetically sealed for freshness,High in protein and calories,for the winter months",F.M. BROWN'S,"F.m. Brown's, Garden Chic Suet and Bread Cakes, 11-3/4-ounce Peanutty Multi-colored"
Sprite,"Food & Grocery,Dishwashing,Liquid Dishwashing Detergent","Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavors,Sodium Citrate,Sodium Benzoate (to protect taste),.",The Coca-Cola Company,Lemon Lime Soda
Jiffy,"Food & Grocery,Food Storage,Containers,Disposable Tabletop,Household Essentials","Ingredients: Wheat Flour,Sugar,Animal Shortening (Contains One Or More of The Following: Lard, Hydrogenated Lard, Partially Hydrogenated Lard),Dextrose,Leavening (Sodium Aluminum Phosphate, Baking Soda, Monocalcium Phosphate),Contains Less Than 2% of Each of The Following: Partially Hydrogenated Soybean & Cottonseed Oils,Yellow Corn Flour,Salt,Citric Acid,Artificial Flavor,Maltodextrin,Red 40 Lake,Blue 2 Lake,Niacin,Reduced Iron,Thiamine Mononitrate,Riboflavin,Folic Acid. Contains: Wheat",Chelsea Milling Company,"Jiffy: Raspberry Muffin Mix, 7 Oz"
Coca-Cola,"Food & Grocery,Food Storage,Plastic Bags & Paper Bags","Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural Flavors,Caffeine",The Coca-Cola Company,Coke Classic
White Coffee,"Food & Grocery,General Grocery,Broth, Stock & Bouillon,Conventional Foods,Soup,Food",100 Hand-Picked Specialty Organic Coffees and Natural Flavors,White Coffee Corp.,White Coffee Organic Chocolate Morsel Medium Roast 10 X 0.35oz (3.5oz)
Twinings,"Food & Grocery,General Grocery,Canned Fruit,Conventional Foods,Canned Foods,Food","Organic Chamomile*,Organic Spearmint*,Organic Spearmint*,Organic Lemon Myrtle. *Fair Trade Certified.","Twinings North America, Inc.",Twinings Camomile With Mint and Lemon Organic Tea
SIPP,"Food & Grocery,General Grocery,Canned Fruit,Conventional Foods,Canned Foods,Food,Meal Solutions, Grains & Pasta,Canned Goods & Soups","Carbonated Water,Organic Agave Syrup,Organic Natural Pear,Organic Natural Honey,Citric Acid,Natural Pear Flavor,Organic Natural Green Tea.",SIPP ECO BEVERAGE CO,"Sipp Soda, Organic, Summer Pear, Caffeine Free"
Shirakiku,"Food & Grocery,General Grocery,Canned Seafood,Conventional Foods,Canned Foods","Carbonated Water,High Fructose Corn Syrup,Citric Acid,Artificial Flavor.",NISHIMOTO TRADING CO LTD,Ramune (lychee Flavor) - 6.76 Fl Oz. (pack of 12)
IAMS,"Food & Grocery,General Grocery,Canned Seafood,Conventional Foods,Canned Foods,grocery","Corn Meal,Chicken By-Product Meal[Natural Source Of Glucosamine],Ground Whole Grain Sorghum,Chicken,Ground Whole Grain Barley,Dried Beet Pulp,Chicken Fat[Preserved With Mixed Tocopherols,A Source Of Vitamin E],Dried Egg Product,Chicken Flavor,Potassium Chloride,Brewers Dried Yeast,Salt,Flax Meal,Vitamins [Vitamin E Supplement,Ascorbic Acid,Vitamin A Acetate,Calcium Pantothenate,Biotin,Thiamine Mononitrate[Source Of Vitamin B1],Vitamin B12 Supplement,Niacin,Riboflavin Supplement[Source Of Vitamin B2],Inositol,Pyridoxine Hydrochloride [Source Of Vitamin B6],Vitamin D3 Supplement,Folic Acid],Fish Oil[Preserved With Mixed Tocopherols,A Source Of Vitamin E],Caramel,Dicalcium Phosphate,DL-Methionine,Choline Chloride,Minerals [Ferrous Sulfate,Zinc Oxide,Manganous Sulfate,Copper Sulfate,Manganous Oxide,Potassium Iodide,Cobalt Carbonate],Dried Chicken Cartilage[Natural Source Of Glucosamine],Calcium Carbonate,L-Tryptophan,L-Carnitine,Rosemary Extract.",Proctor & Gamble,"Iams Proactive Health Dry Dog Food - Original Minichunk Formula, 17.5lb Bag"
Domino Foods,"Food & Grocery,General Grocery,Canned Vegetable,Conventional Foods,Canned Foods",Sugar,"Domino Foods, Inc.","Domino Dots Sugar Cubes Pure Cane - 126 Cubes, 1.0 LB"
Purina Fancy Feast,"Food & Grocery,General Grocery,Canned Vegetable,Food,Canned Vegetables","Fish Broth,Salmon,Wheat Gluten,Liver,Meat By-Products,Spinach,Chicken,Corn Starch-Modified,Artificial and Natural Flavors,Added Color,Salt,Tricalcium Phosphate,Soy Protein Concentrate,Potassium Chloride,Taurine,Choline Chloride,Red 3,Magnesium Sulfate,Thiamine Mononitrate,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Niacin,Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Copper Sulfate,Manganese Sulfate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide. B-6701.",Fancy Feast,Purina Fancy Feast Medleys Wild Salmon Florentine Cat Food 3 oz. Can
Nescafe Taster's Choice,"Food & Grocery,General Grocery,Chutney & Relish",100% Pure Coffee.,Nestle,Nescafï¿½ï¿½ Taster's Choice Decaffeinated Instant Coffee 80-0.059 oz. Packets
